year,static_share,dynamic_share,linear_share,country,static_change,dynamic_change,divergence,linear_change
2022,0.2975862526148316,0.2975862526148316,0.18956641092368365,Australia,,,0.0,
2023,0.3159065158276287,0.3159065158276287,0.1963835213198415,Australia,0.01832026321279706,0.01832026321279706,0.0,0.006817110396157844
2024,0.33422677904042575,0.33448017517905726,0.20320063171599756,Australia,0.01832026321279706,0.018573659351428573,0.000253396138631512,0.0068171103961560675
2025,0.3525470422532228,0.35326074590664064,0.2100177421121554,Australia,0.01832026321279706,0.01878057072758338,0.0007137036534178298,0.006817110396157844
2026,0.37086730546601987,0.37218895191954987,0.21683485250831147,Australia,0.01832026321279706,0.018928206012909232,0.001321646453530001,0.0068171103961560675
2027,0.38918756867881693,0.3900593981212539,0.22365196290446931,Australia,0.01832026321279706,0.017870446201704027,0.0008718294424369666,0.006817110396157844
2028,0.407507831891614,0.4068407348809933,0.23046907330062538,Australia,0.01832026321279706,0.016781336759739418,-0.0006670970106206764,0.0068171103961560675
2029,0.42582809510441105,0.42209176124222086,0.23728618369678145,Australia,0.01832026321279706,0.015251026361227549,-0.0037363338621901887,0.0068171103961560675
2030,0.4441483583172081,0.43773961548241375,0.2441032940929393,Australia,0.01832026321279706,0.015647854240192882,-0.006408742834794368,0.006817110396157844
2031,0.4624686215300052,0.45312249712137825,0.25092040448909536,Australia,0.01832026321279706,0.015382881638964507,-0.009346124408626921,0.0068171103961560675
2032,0.48078888474280224,0.46872992053885254,0.2577375148852532,Australia,0.01832026321279706,0.015607423417474287,-0.012058964203949696,0.006817110396157844
2033,0.4991091479555993,0.4859461650076166,0.2645546252814093,Australia,0.01832026321279706,0.017216244468764075,-0.013162982947982682,0.0068171103961560675
2034,0.5174294111683964,0.5027378976982603,0.2713717356775671,Australia,0.01832026321279706,0.016791732690643657,-0.014691513470136086,0.006817110396157844
2035,0.5357496743811935,0.5194473289392296,0.2781888460737232,Australia,0.018320263212797117,0.016709431240969352,-0.01630234544196385,0.0068171103961560675
2022,0.7250350499371269,0.7250350499371269,0.7346678041932257,Austria,,,0.0,
2023,0.7462298189859407,0.7462298189859407,0.7397708734589195,Austria,0.02119476904881379,0.02119476904881379,0.0,0.005103069265693705
2024,0.7674245880347544,0.7659409216432543,0.7448739427246149,Austria,0.02119476904881379,0.019711102657313684,-0.0014836663915001047,0.005103069265695481
2025,0.7886193570835682,0.7860528643458329,0.7499770119903104,Austria,0.02119476904881379,0.020111942702578545,-0.0025664927377353486,0.005103069265695481
2026,0.809814126132382,0.8095377159333188,0.7550800812560041,Austria,0.02119476904881379,0.023484851587485922,-0.00027641019906321507,0.005103069265693705
2027,0.8310088951811958,0.8330023198808176,0.7601831505216996,Austria,0.02119476904881379,0.02346460394749883,0.0019934246996218263,0.005103069265695481
2028,0.8522036642300096,0.8569469608612335,0.7652862197873933,Austria,0.02119476904881379,0.02394464098041582,0.004743296631223859,0.005103069265693705
2029,0.8733984332788234,0.8792555910775405,0.7703892890530888,Austria,0.02119476904881379,0.022308630216307024,0.005857157798717094,0.005103069265695481
2030,0.8945932023276372,0.9012761949048673,0.7754923583187843,Austria,0.02119476904881379,0.022020603827326846,0.006682992577230151,0.005103069265695481
2031,0.915787971376451,0.9220327545954122,0.780595427584478,Austria,0.02119476904881379,0.020756559690544907,0.0062447832189612695,0.005103069265693705
2032,0.9369827404252647,0.9417655787523097,0.7856984968501735,Austria,0.02119476904881379,0.019732824156897477,0.004782838327044958,0.005103069265695481
2033,0.9581775094740785,0.9614401103801018,0.7908015661158689,Austria,0.02119476904881379,0.01967453162779209,0.003262600906023261,0.005103069265695481
2034,0.9793722785228923,0.9805971455340858,0.7959046353815626,Austria,0.02119476904881379,0.019157035153984037,0.001224867011193509,0.005103069265693705
2035,1.0,0.9992130064125724,0.8010077046472581,Austria,0.020627721477107674,0.018615860878486545,-0.0007869935874276202,0.005103069265695481
2022,0.21757710307161543,0.21757710307161543,0.1878258030679767,Belgium,,,0.0,
2023,0.2402223446216378,0.2402223446216378,0.19725673041160974,Belgium,0.02264524155002237,0.02264524155002237,0.0,0.009430927343633044
2024,0.2628675861716602,0.26309203154140076,0.20668765775524278,Belgium,0.02264524155002237,0.02286968691976296,0.00022444536974058904,0.009430927343633044
2025,0.28551282772168257,0.28572253778431805,0.21611858509887583,Belgium,0.0226452415500224,0.022630506242917292,0.00020971006263548198,0.009430927343633044
2026,0.30815806927170497,0.30812625466749666,0.22554951244251242,Belgium,0.0226452415500224,0.022403716883178604,-3.181460420831339e-05,0.009430927343636597
2027,0.33080331082172737,0.3313938334999143,0.23498043978614547,Belgium,0.0226452415500224,0.023267578832417646,0.0005905226781869333,0.009430927343633044
2028,0.35344855237174977,0.35481936083885834,0.2444113671297785,Belgium,0.0226452415500224,0.02342552733894404,0.0013708084671085752,0.009430927343633044
2029,0.37609379392177217,0.3796920149162104,0.25384229447341156,Belgium,0.0226452415500224,0.024872654077352063,0.0035982209944382393,0.009430927343633044
2030,0.39873903547179457,0.4040001903708947,0.2632732218170446,Belgium,0.0226452415500224,0.024308175454684278,0.005261154899100118,0.009430927343633044
2031,0.42138427702181697,0.42844852175258896,0.27270414916067764,Belgium,0.0226452415500224,0.024448331381694277,0.007064244730771996,0.009430927343633044
2032,0.44402951857183937,0.45295339045810423,0.2821350765043107,Belgium,0.0226452415500224,0.02450486870551527,0.008923871886264867,0.009430927343633044
2033,0.46667476012186176,0.4773269634595729,0.29156600384794373,Belgium,0.0226452415500224,0.02437357300146864,0.010652203337711108,0.009430927343633044
2034,0.48932000167188416,0.5020408594199592,0.3009969311915768,Belgium,0.0226452415500224,0.024713895960386367,0.012720857748075076,0.009430927343633044
2035,0.5119652432219065,0.5280037068865577,0.3104278585352098,Belgium,0.022645241550022344,0.025962847466598493,0.016038463664651226,0.009430927343633044
2022,0.7955350710396712,0.7955350710396712,0.6701787771681644,Brazil,,,0.0,
2023,0.7855061405515897,0.7855061405515897,0.6613705770990848,Brazil,-0.010028930488081511,-0.010028930488081511,0.0,-0.008808200069079675
2024,0.7754772100635082,0.7745078525091712,0.6525623770300051,Brazil,-0.010028930488081511,-0.010998288042418536,-0.0009693575543370248,-0.008808200069079675
2025,0.7654482795754267,0.763127594916999,0.6437541769609254,Brazil,-0.010028930488081511,-0.011380257592172205,-0.0023206846584277185,-0.008808200069079675
2026,0.7554193490873452,0.7537573852660426,0.6349459768918457,Brazil,-0.010028930488081511,-0.009370209650956363,-0.00166196382130257,-0.008808200069079675
2027,0.7453904185992637,0.7441901583333541,0.6261377768227661,Brazil,-0.010028930488081511,-0.009567226932688522,-0.0012002602659095807,-0.008808200069079675
2028,0.7353614881111822,0.7355268312442957,0.6173295767536899,Brazil,-0.010028930488081511,-0.00866332708905837,0.0001653431331135602,-0.008808200069076122
2029,0.7253325576231007,0.726667940345897,0.6085213766846103,Brazil,-0.010028930488081511,-0.008858890898398752,0.0013353827227963189,-0.008808200069079675
2030,0.7153036271350192,0.7170203934410025,0.5997131766155306,Brazil,-0.010028930488081511,-0.009647546904894444,0.001716766305983386,-0.008808200069079675
2031,0.7052746966469376,0.7076918447524759,0.5909049765464509,Brazil,-0.010028930488081511,-0.009328548688526617,0.0024171481055382804,-0.008808200069079675
2032,0.6952457661588561,0.6981470536056478,0.5820967764773712,Brazil,-0.010028930488081511,-0.009544791146828158,0.002901287446791634,-0.008808200069079675
2033,0.6852168356707746,0.6879611368222037,0.5732885764082916,Brazil,-0.010028930488081511,-0.010185916783444049,0.002744301151429096,-0.008808200069079675
2034,0.6751879051826931,0.67796270988123,0.5644803763392119,Brazil,-0.010028930488081511,-0.009998426940973748,0.002774804698536859,-0.008808200069079675
2035,0.6651589746946116,0.6681455451171529,0.5556721762701322,Brazil,-0.010028930488081511,-0.009817164764077124,0.002986570422541246,-0.008808200069079675
2022,0.6726735481598232,0.6726735481598232,0.6577349849078136,Canada,,,0.0,
2023,0.6745003210211418,0.6745003210211418,0.6618556007073444,Canada,0.001826772861318604,0.001826772861318604,0.0,0.004120615799530825
2024,0.6763270938824604,0.6775185592943912,0.6659762165068752,Canada,0.001826772861318604,0.0030182382732494295,0.0011914654119308254,0.004120615799530825
2025,0.678153866743779,0.6801333227163548,0.670096832306406,Canada,0.001826772861318604,0.0026147634219636506,0.001979455972575872,0.004120615799530825
